make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,price,key
Toyota,Innova,2021,Diesel,Manual,"13,000 Km",2.755,Mpv,₱1.098 Million,Toyota Innova
Nissan,NP300,2019,Diesel,Automatic,"35,000 Km",2.5,Pickup-trucks,₱1.098 Million,Nissan NP300
Toyota,Fortuner,2017,Diesel,Automatic,"26,000 Km",2.4,Suv,₱1.098 Million,Toyota Fortuner
Hyundai,Tucson,2020,Diesel,Automatic,"19,000 Km",1.995,Suv,₱1.098 Million,Hyundai Tucson
Ford,Everest,2018,Diesel,Automatic,"45,000 Km",2.2,Suv,₱1.098 Million,Ford Everest
Mitsubishi,Montero,2020,Diesel,Manual,"17,000 Km",2.442,Suv,₱1.098 Million,Mitsubishi Montero
Nissan,NV350,2018,Diesel,Automatic,"65,000 Km",2.488,Van,₱1.099 Million,Nissan NV350
Toyota,Hiace,2021,Diesel,Manual,"23,000 Km",3.0,Van,₱1.099 Million,Toyota Hiace
Hyundai,Starex,2016,Diesel,Automatic,1 Km,2.5,Van,₱1.1 Million,Hyundai Starex
Toyota,Fortuner,2017,Diesel,Automatic,"35,000 Km",2.494,Suv,₱1.1 Million,Toyota Fortuner
Ford,Ranger,2020,Diesel,Manual,"45,000 Km",2.0,Pickup-trucks,₱1.1 Million,Ford Ranger
Chevrolet,Trax,2017,Gasoline,Automatic,"9,000 Km",1.364,Crossover,₱1.1 Million,Chevrolet Trax
BMW,3,2012,Gasoline,Automatic,"55,000 Km",1.998,Sedan,₱1.1 Million,BMW 3
Mitsubishi,Montero,2016,Diesel,Automatic,"38,900 Km",2.4,Suv,₱1.1 Million,Mitsubishi Montero
Nissan,NP300,2022,Diesel,Manual,"8,600 Km",2.5,Pickup-trucks,₱1.1 Million,Nissan NP300
Nissan,Patrol,2011,Diesel,Automatic,"48,000 Km",3.0,Suv,₱1.1 Million,Nissan Patrol
BMW,X1,2011,Gasoline,Manual,1 Km,1.995,Suv,₱1.1 Million,BMW X1
Mitsubishi,Strada,2021,Diesel,Manual,"8,000 Km",2.396,Pickup-trucks,₱1.1 Million,Mitsubishi Strada
Jetour,Dashing,2023,Gasoline,Automatic,"5,500 Km",1.5,Suv,₱1.1 Million,Jetour Dashing
Mitsubishi,Pajero,2013,Diesel,Automatic,"115,000 Km",3.198,Suv,₱1.1 Million,Mitsubishi Pajero
Toyota,Fortuner,2017,Diesel,Automatic,"50,000 Km",2.393,Suv,₱1.1 Million,Toyota Fortuner
MG,HS,2022,Gasoline,Automatic,"18,000 Km",1.498,Suv,₱1.1 Million,MG HS
Mazda,CX-9,2019,Gasoline,Automatic,"95,000 Km",2.5,Suv,₱1.1 Million,Mazda CX-9
Hyundai,Tucson,2023,Gasoline,Automatic,"23,027 Km",2.0,Suv,₱1.1 Million,Hyundai Tucson
Toyota,Innova,2021,Diesel,Automatic,"35,000 Km",2.8,Mpv,₱1.1 Million,Toyota Innova
Hyundai,Grand,2015,Diesel,Automatic,"100,000 Km",2.497,Minivans,₱1.1 Million,Hyundai Grand
Foton,View,2017,Diesel,Manual,"39,000 Km",2.8,Van,₱1.1 Million,Foton View
Toyota,Fortuner,2017,Diesel,Automatic,"30,000 Km",2.4,Suv,₱1.12 Million,Toyota Fortuner
Ford,Territory,2022,Gasoline,Cvt,"16,000 Km",1.49,Crossover,₱1.12 Million,Ford Territory
Suzuki,Jimny,2020,Gasoline,Manual,1 Km,1.462,Suv,₱1.128 Million,Suzuki Jimny
Mitsubishi,Montero,2019,Diesel,Manual,"41,000 Km",2.442,Suv,₱1.128 Million,Mitsubishi Montero
Mitsubishi,Montero,2016,Diesel,Automatic,"55,000 Km",2.4,Suv,₱1.128 Million,Mitsubishi Montero
Toyota,Innova,2018,Diesel,Automatic,"28,000 Km",2.755,Mpv,₱1.13 Million,Toyota Innova
Mitsubishi,Xpander,2022,Gasoline,Automatic,987 Km,1.499,Mpv,₱1.13 Million,Mitsubishi Xpander
Subaru,WRX,2017,Gasoline,Cvt,"20,000 Km",1.998,Sedan,₱1.13 Million,Subaru WRX
Mitsubishi,Montero,2016,Diesel,Automatic,"68,000 Km",2.442,Suv,₱1.138 Million,Mitsubishi Montero
Mitsubishi,Montero,2017,Diesel,Automatic,"30,000 Km",2.442,Suv,₱1.138 Million,Mitsubishi Montero
Mitsubishi,Montero,2018,Diesel,Automatic,"45,000 Km",2.442,Suv,₱1.148 Million,Mitsubishi Montero
Ford,Ranger,2020,Diesel,Automatic,"4,170 Km",2.0,Pickup-trucks,₱1.15 Million,Ford Ranger
Honda,Civic,2018,Gasoline,Cvt,"8,000 Km",1.498,Sedan,₱1.15 Million,Honda Civic
Nissan,NP300,2019,Diesel,Automatic,"20,000 Km",2.5,Pickup-trucks,₱1.15 Million,Nissan NP300
Suzuki,Jimny,2022,Gasoline,Manual,"85,000 Km",1.462,Suv,₱1.15 Million,Suzuki Jimny
Toyota,Hilux,2016,Diesel,Automatic,"80,000 Km",2.755,Pickup-trucks,₱1.15 Million,Toyota Hilux
Toyota,Hilux,2018,Diesel,Manual,"20,000 Km",2.755,Pickup-trucks,₱1.15 Million,Toyota Hilux
Honda,CR-V,2018,Gasoline,Cvt,"50,000 Km",1.498,Suv,₱1.15 Million,Honda CR-V
Mitsubishi,Strada,2020,Diesel,Automatic,"80,000 Km",2.396,Pickup-trucks,₱1.15 Million,Mitsubishi Strada
Geely,Azkarra,2022,Gasoline,Dual-clutch,"22,000 Km",1.477,Crossover,₱1.15 Million,Geely Azkarra
Toyota,Fortuner,2018,Diesel,Automatic,"60,000 Km",2.393,Suv,₱1.15 Million,Toyota Fortuner
Toyota,Fortuner,2016,Diesel,Automatic,"55,000 Km",2.765,Suv,₱1.15 Million,Toyota Fortuner
Nissan,Terra,2020,Diesel,Automatic,"65,000 Km",2.488,Suv,₱1.15 Million,Nissan Terra
Mitsubishi,Montero,2020,Diesel,Manual,"37,000 Km",2.442,Suv,₱1.158 Million,Mitsubishi Montero
Ford,Ranger,2020,Diesel,Automatic,"27,120 Km",2.0,Pickup-trucks,₱1.158 Million,Ford Ranger
Toyota,Hilux,2018,Diesel,Automatic,"36,000 Km",2.755,Pickup-trucks,₱1.158 Million,Toyota Hilux
Ford,Everest,2018,Diesel,Automatic,"41,000 Km",2.2,Suv,₱1.168 Million,Ford Everest
Toyota,Corolla,2022,Gasoline,Cvt,"20,000 Km",1.598,Sedan,₱1.17 Million,Toyota Corolla
Isuzu,mu-X,2018,Diesel,Automatic,"30,000 Km",2.999,Suv,₱1.17 Million,Isuzu mu-X
Toyota,Innova,2022,Diesel,Automatic,"13,708 Km",2.755,Mpv,₱1.175 Million,Toyota Innova
Mitsubishi,Montero,2016,Diesel,Manual,1 Km,2.442,Suv,₱1.18 Million,Mitsubishi Montero
Toyota,Fortuner,2016,Diesel,Automatic,"24,000 Km",2.393,Suv,₱1.18 Million,Toyota Fortuner
Toyota,Fortuner,2016,Diesel,Automatic,"80,000 Km",2.393,Suv,₱1.18 Million,Toyota Fortuner
Mitsubishi,Strada,2023,Diesel,Automatic,"15,000 Km",2.4,Pickup-trucks,₱1.18 Million,Mitsubishi Strada
Nissan,NP300,2021,Diesel,Manual,"21,000 Km",2.5,Pickup-trucks,₱1.188 Million,Nissan NP300
Isuzu,mu-X,2018,Diesel,Automatic,"62,000 Km",2.999,Suv,₱1.188 Million,Isuzu mu-X
Toyota,Corolla,2021,Gasoline,Cvt,"13,000 Km",1.798,Crossover,₱1.189 Million,Toyota Corolla
