key,make,model,fuel_type,transmission,body_type,make_year,ext_make_year,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2021,2024,14000.0,2.0,1850000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2022,2024,21000.0,2.0,1950000.0,1249000.0,2
Ford Territory,Ford,Territory,Gasoline,Automatic,Crossover,2022,2024,40000.0,1.5,970000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Automatic,SUV,2021,2024,29000.0,1.5,888000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Automatic,Crossover,2022,2024,40000.0,1.5,930000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Automatic,Crossover,2022,2024,23000.0,1.5,918000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Cvt,Crossover,2021,2024,45000.0,1.49,840000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Automatic,Suv,2021,2024,59000.0,1.5,850000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Cvt,Crossover,2021,2024,45000.0,1.49,840000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Automatic,Suv,2021,2024,59000.0,1.5,850000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Cvt,Crossover,2021,2024,33000.0,1.49,858000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Automatic,Suv,2022,2024,20000.0,1.5,1000000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Cvt,Crossover,2021,2024,20000.0,1.49,1070000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Cvt,Crossover,2021,2024,32000.0,1.49,1080000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Automatic,Suv,2022,2024,24000.0,1.5,1090000.0,1335000.0,2
Ford Territory,Ford,Territory,Gasoline,Cvt,Crossover,2022,2024,16000.0,1.49,1120000.0,1335000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2015,2024,18000.0,5.0,2150000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2015,2024,12000.0,5.0,2348000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Convertibles,2015,2024,18000.0,5.0,2430000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2016,2024,70000.0,5.0,2430000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2016,2024,8000.0,5.0,2430000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2019,2024,25000.0,5.0,2550000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2020,2024,5000.0,5.21,2700000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2020,2024,7000.0,2.3,2758000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2020,2024,18000.0,5.0,2895000.0,3499000.0,2
Ford Mustang,Ford,Mustang,Gasoline,Automatic,Coupe,2022,2024,630.0,5.21,6500000.0,3499000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,SUV,2016,2024,40000.0,3.5,1190000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,SUV,2016,2024,60000.0,3.5,1190000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,SUV,2017,2024,44591.0,3.5,1250000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,SUV,2014,2024,90000.0,2.0,700000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,Suv,2014,2024,100000.0,2.0,700000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,Suv,2014,2024,65000.0,2.0,700000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,Suv,2014,2024,100000.0,2.0,700000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,Suv,2014,2024,65000.0,2.0,700000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,Suv,2014,2024,65000.0,2.0,768000.0,3498000.0,2
Ford Explorer,Ford,Explorer,Gasoline,Automatic,Suv,2014,2024,26000.0,2.0,890000.0,3498000.0,2
