,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
59,2015 Honda Mobilio 1.5 V CVT Detail,"₱580,000 ",,2015,Gasoline,Mpv,,First Owner,Cvt,Paranaque,7 seat,1497 CC
60,2017 Ford Ecosport 1.5L Titanium AT Detail,"₱580,000 ",2017.0,2017,Gasoline,Suv,"32,000 Km",First Owner,Automatic,Cebu City,,1498 CC
61,2021 Toyota Vios 1.3 XLE CVT Detail,"₱580,000 ",,2021,Gasoline,Sedan,"26,000 Km",First Owner,Cvt,Quezon City,5 seat,1329 CC
62,2013 Kia Carnival 2.2 EX 7-Seater AT Detail,"₱580,000 ",2023.0,2013,Diesel,Mpv,"110,000 Km",First Owner,Automatic,Las Piñas,7 seat,2151 CC
63,2013 Toyota RAV 4 2.5L Active+ AT Detail,"₱580,000 ",2013.0,2013,Gasoline,Suv,"90,000 Km",First Owner,Automatic,Bacoor,,
64,2013 Honda CR-V 1.6L V AT Detail,"₱580,000 ",2013.0,2013,Diesel,Suv,"89,800 Km",First Owner,Automatic,Las Piñas,,1598 CC
65,2014 Mitsubishi Montero Sport GLX 2WD 2.4D MT Detail,"₱580,000 ",2014.0,2014,Diesel,Suv,"72,000 Km",First Owner,Manual,Makati City,7 seat,2442 CC
66,2014 Hyundai Grand Starex 2.5 GL 5MT (Dsl) 10 Seater Detail,"₱585,000 ",,2014,Diesel,Minivans,"29,000 Km",First Owner,Manual,Marikina City,10 seat,2476 CC
67,2007 Isuzu Alterra Urban Cruiser RWD AT Detail,"₱585,000 ",2007.0,2007,Diesel,Suv,1 Km,First Owner,Automatic,"Talisay City, Cebu",,
68,2018 Ford Ecosport 1.5 L Titanium AT Detail,"₱585,000 ",,2018,Gasoline,Crossover,"46,000 Km",First Owner,Automatic,Makati City,5 seat,1498 CC
69,2021 Toyota Vios 1.3L XLE AT Detail,"₱585,000 ",2024.0,2021,Gasoline,Sedan,"28,000 Km",Second Owner,Automatic,Lipa City,,1293 CC
70,2020 Toyota Vios 1.3 J MT Detail,"₱585,000 ",2020.0,2020,Gasoline,Sedan,"18,000 Km",First Owner,Manual,Quezon City,5 seat,1329 CC
71,2017 Mitsubishi Adventure 2.5 GLS Sport MT Detail,"₱588,000 ",,2017,Diesel,Mpv,1 Km,First Owner,Manual,Pasig,,2494 CC
72,2019 MG ZS Style MT Detail,"₱588,000 ",,2019,Gasoline,Crossover,1 Km,First Owner,Manual,Pasig,5 seat,1499 CC
73,2015 Toyota Corolla Altis 1.6 V AT Detail,"₱588,000 ",,2015,Gasoline,Sedan,1 Km,First Owner,Automatic,Quezon City,5 seat,1598 CC
74,2016 Peugeot Expert Tepee 2.0L Expert Tepee AT Detail,"₱588,000 ",2023.0,2016,Diesel,Van,"85,000 Km",First Owner,Automatic,Muntinlupa,,
75,2021 Mitsubishi Mirage G4 GLX 1.2 CVT Detail,"₱588,000 ",2021.0,2021,Gasoline,Sedan,"12,000 Km",First Owner,Cvt,Marikina City,5 seat,1193 CC
76,2012 Subaru Forester 2.0i-L Detail,"₱588,000 ",,2012,Gasoline,Suv,,First Owner,Cvt,Quezon City,5 seat,1995 CC
77,2018 Toyota Vios 1.3 E CVT Detail,"₱588,000 ",,2018,Gasoline,Sedan,"53,000 Km",First Owner,Cvt,Quezon City,5 seat,1329 CC
78,2022 Mitsubishi Mirage G4 GLX CVT Detail,"₱588,000 ",,2022,Gasoline,Sedan,"9,000 Km",First Owner,Cvt,Mandaluyong City,5 seat,1193 CC
79,2022 Mitsubishi Mirage G4 GLX 1.2 MT Detail,"₱588,000 ",2022.0,2022,Gasoline,Sedan,"4,000 Km",First Owner,Manual,Imus,5 seat,1193 CC
80,2019 Toyota Vios 1.3 E Prime CVT Detail,"₱588,000 ",,2019,Gasoline,Sedan,1 Km,First Owner,Cvt,Quezon City,5 seat,1329 CC
81,2022 MG 5 1.5L CVT Alpha Detail,"₱588,000 ",2022.0,2022,Gasoline,Sedan,"17,000 Km",First Owner,Cvt,San Jose del Monte,5 seat,1498 CC
82,2019 Toyota Vios 1.3 E Prime CVT Detail,"₱588,000 ",,2019,Gasoline,Sedan,1 Km,First Owner,Cvt,Pasig,5 seat,1329 CC
83,2009 Toyota Innova 2.0L E MT Detail,"₱589,000 ",,2009,Gasoline,Mpv,"63,000 Km",First Owner,Manual,Quezon City,,
84,2023 Toyota Lite Ace Panel Van Detail,"₱589,000 ",,2023,Gasoline,Van,"2,000 Km",First Owner,Manual,Quezon City,2 seat,1496 CC
