Make,Model,Price,Vehicle,Fuel,Transmission,Mileage,Engine,Body
Honda,Mobilio,590000,2017,Gasoline,Automatic,"40,000",1.5,AUV
Kia,Sorento,580000,2015,Diesel,Automatic,"70,000",2.2,SUV
Toyota,Fortuner,1270000,2020,Diesel,Automatic,"40,000",2.4,SUV
Hyundai,Tucson,830000,2019,Diesel,Automatic,"50,000",2,Crossover
Hyundai,Elantra,470000,2016,Gasoline,Automatic,"40,000",2.0,Sedan
Mitsubishi,Montero,880000,2016,Diesel,Automatic,"60,000",2.4,SUV
Subaru,Forester,1098000,2019,Gasoline,Automatic,"11,000",2,Crossover
Ford,Everest,798000,2017,Diesel,Automatic,"63,000",2.2,SUV
Toyota,Wigo,538000,2021,Gasoline,Automatic,"19,000",1,Hatchback
Honda,City,648000,2018,Diesel,Automatic,"37,000",1.5,Sedan
Subaru,BRZ,2190000,2023,Gasoline,Automatic,"1,950",2.4,Coupe
Ford,Everest,808000,2017,Diesel,Automatic,"104,000",,SUV
Isuzu,mu-X,878000,2016,Diesel,Automatic,"39,000",,SUV
Hyundai,Tucson,858000,2019,Diesel,Automatic,"37,000",2,Crossover
Toyota,Hilux,918000,2016,Diesel,Automatic,"76,000",2.4,Pickup
Ford,Everest,778000,2016,Diesel,Automatic,"56,000",2.2,SUV
Honda,City,668000,2020,Gasoline,Automatic,"27,000",1.5,Sedan
Mazda,3,998000,2020,Gasoline,Automatic,"10,000",2,Sedan
MG,ZS,748000,2022,Gasoline,Automatic,"14,000",1.3,Crossover
Ford,EcoSport,528000,2019,Gasoline,Automatic,"41,000",1.5,Crossover
Honda,CR-V,638000,2015,Gasoline,Automatic,"56,000",2.0,Crossover
Volkswagen,Jetta,478000,2016,Diesel,Automatic,"62,000",2,Sedan
Honda,HR-V,598000,2015,Gasoline,Automatic,"49,000",1.8,Crossover
Suzuki,Ertiga,548000,2019,Gasoline,Manual,"43,000",1.5,MPV
Kia,Bongo,425000,2020,Diesel,Manual,"142,000",2.9,Commercial
Toyota,Wigo,418000,2019,Gasoline,Automatic,"77,000",1.0,Hatchback
Mitsubishi,Montero,1098000,2017,Diesel,Automatic,"48,000",,SUV
Ford,Explorer,1250000,2017,Gasoline,Automatic,"44,591",3.5,SUV
Toyota,Rush,898000,2022,Gasoline,Automatic,"29,000",1.5,MPV
Hyundai,H-100,898000,2023,Diesel,Manual,"16,000",2.2,Commercial
Suzuki,Dzire,495000,2023,Gasoline,Automatic,"6,000",1.2,Sedan
Toyota,Avanza,629000,2019,Gasoline,Manual,"52,000",1.5,MPV
Nissan,Navara,799000,2019,Diesel,Manual,"56,000",,Pickup
Isuzu,Crosswind,349000,2017,Diesel,Manual,"97,000",2.5,AUV
Toyota,Vios,519000,2020,Gasoline,Automatic,"25,000",1.3,Sedan
Mitsubishi,Xpander,899000,2022,Gasoline,Automatic,"33,000",1.5,MPV
Nissan,NV350,859000,2020,Diesel,Manual,"73,000",,Van
Hyundai,Kona,619000,2020,Gasoline,Automatic,"63,000",2,Crossover
Toyota,Avanza,565000,2019,Gasoline,Automatic,"39,800",1.3,MPV
Ford,Ranger,1890000,2022,Diesel,Automatic,"21,000",2,Pickup
Mitsubishi,L300,768000,2022,Diesel,Manual,"12,000",2.2,Commercial
Subaru,XV,528000,2013,Gasoline,Automatic,"32,000",2,SUV
Toyota,Rush,758000,2019,Gasoline,Automatic,"41,000",1.5,MPV
Ford,Explorer,1068000,2016,Gasoline,Automatic,"73,000",,Crossover
