key,make_encoded,model_encoded,transmission_encoded,body_type_encoded,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,30000,1.8,775000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,13000,1.5,1230000,1583000,4
Honda Civic,0.09567337,0.021328458,0.232784887,0.209628275,0,1,10000,1.6,80000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,50000,1.5,90000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,120000,1.8,135000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,24000,1.8,849000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,125300,1.5,250000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,120000,1.5,255000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,110000,1.5,270000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,1,1.8,295000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,75000,1.5,295000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,120000,1.5,300000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,55000,1.5,320000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,70000,1.8,355000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,75000,1.8,445000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,88000,1.8,445000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,63000,1.8,458000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,40000,1.5,460000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,45000,1.5,730000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,45059,1.5,780000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,57000,1.8,800000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,24000,1.8,849000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,21000,1.8,898000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,1,1.8,938000,1583000,4
