key,make,model,transmission,body_type,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Ford Territory,1180181.2247765185,954624.4707042887,1102810.8291457286,825412.2457536869,0,1,23000.0,1.5,918000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,678251.5520286055,825412.2457536869,0,1,45000.0,1.49,840000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,1102810.8291457286,1086439.880131363,0,1,59000.0,1.5,850000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,678251.5520286055,825412.2457536869,0,1,45000.0,1.49,840000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,1102810.8291457286,1086439.880131363,0,1,59000.0,1.5,850000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,678251.5520286055,825412.2457536869,0,1,33000.0,1.49,858000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,1102810.8291457286,1086439.880131363,0,1,20000.0,1.5,1000000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,678251.5520286055,825412.2457536869,0,1,20000.0,1.49,1070000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,678251.5520286055,825412.2457536869,0,1,32000.0,1.49,1080000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,1102810.8291457286,1086439.880131363,0,1,24000.0,1.5,1090000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,678251.5520286055,825412.2457536869,0,1,16000.0,1.49,1120000.0,1335000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,18000.0,5.0,2150000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,12000.0,5.0,2348000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1146403.9556182208,0,1,18000.0,5.0,2430000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,70000.0,5.0,2430000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,8000.0,5.0,2430000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,25000.0,5.0,2550000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,5000.0,5.21,2700000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,7000.0,2.3,2758000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,18000.0,5.0,2895000.0,3499000.0,2
Ford Mustang,1180181.2247765185,1484694.0792510952,1102810.8291457286,1982512.0189325728,0,1,630.0,5.21,6500000.0,3499000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,40000.0,3.5,1190000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,60000.0,3.5,1190000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,44591.0,3.5,1250000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,90000.0,2.0,700000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,100000.0,2.0,700000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,65000.0,2.0,700000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,100000.0,2.0,700000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,65000.0,2.0,700000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,65000.0,2.0,768000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,26000.0,2.0,890000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,40000.0,3.5,950000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,71000.0,2.3,980000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,18000.0,2.3,1095000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,1.0,3.5,1238000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,26000.0,2.3,1345000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,53000.0,2.3,1358000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,40000.0,3.5,1420000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,41856.0,3.5,1550000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,20000.0,2.3,1750000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,17313.0,3.5,1800000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,80000.0,3.5,1800000.0,3498000.0,2
Ford Explorer,1180181.2247765185,1082464.6559604926,1102810.8291457286,1086439.880131363,0,1,25000.0,3.5,2000000.0,3498000.0,2
Ford Bronco,1180181.2247765185,1717228.713812501,1102810.8291457286,1086439.880131363,0,1,100.0,2.0,6800000.0,4998000.0,2
Honda Civic,637133.4036254059,695351.2192947266,1102810.8291457286,704313.6279069788,0,1,50000.0,1.8,760000.0,1583000.0,4
Honda Civic,637133.4036254059,695351.2192947266,678251.5520286055,704313.6279069788,0,1,40000.0,1.8,905000.0,1583000.0,4
Honda Civic,637133.4036254059,695351.2192947266,1102810.8291457286,704313.6279069788,0,1,80000.0,1.8,390000.0,1583000.0,4
Honda Civic,637133.4036254059,695351.2192947266,1102810.8291457286,704313.6279069788,0,1,30000.0,1.8,740000.0,1583000.0,4
Honda Civic,637133.4036254059,695351.2192947266,1102810.8291457286,704313.6279069788,0,1,30000.0,1.8,775000.0,1583000.0,4
